id,type,metadata,lat,lon,amenity,website,phone,email,is_address_null,address
248701820,node,"{'amenity': 'pharmacy', 'entrance:kerb:height': '0.05', 'entrance:ramp': 'no', 'entrance:step_count': '1', 'entrance:width': '1.04', 'healthcare': 'pharmacy', 'name': 'Apotheek Roosevelt', 'opening_hours': 'Mo-Fr 09:00-18:30; Sa 10:30-17:30; Su off', 'toilets:wheelchair': 'no', 'wheelchair': 'no', 'wheelchair:turning_circle': 'no'}",51.2196979,4.41493,pharmacy,,,,,
248701898,node,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Apotheek Krols', 'website': 'https://apotheek-krols.business.site', 'wheelchair': 'yes'}",51.2249239,4.4097546,pharmacy,https://apotheek-krols.business.site,,,,
248702004,node,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Shipping Dispensary', 'operator': 'AFS'}",51.2267041,4.414979,pharmacy,,,,,
297296979,node,"{'addr:housenumber': '291', 'amenity': 'veterinary', 'name': 'Eddy Janssens'}",51.1930795,4.4461398,veterinary,,,,,
305753470,node,"{'amenity': 'pharmacy', 'created_by': 'Merkaartor 0.11'}",51.1855731,4.3424064,pharmacy,,,,,
306484558,node,"{'amenity': 'pharmacy', 'dispensing': 'yes', 'email': 'apotheek.wilrijk-bauwenslaan@benu.be', 'healthcare': 'pharmacy', 'name': 'BENU', 'old_name': 'LloydsPharma', 'opening_hours': 'Mo-Fr 09:00-12:30,13:30-18:30', 'phone': '+32 3 827 81 97', 'website': 'https://storelocator.benu.be/nl/apotheek-benu-wilrijk-bauwenslaan'}",51.1787307,4.3782537,pharmacy,https://storelocator.benu.be/nl/apotheek-benu-wilrijk-bauwenslaan,+32 3 827 81 97,apotheek.wilrijk-bauwenslaan@benu.be,,
441170477,node,"{'addr:housenumber': '25', 'addr:postcode': '2018', 'addr:street': 'Dageraadplaats', 'amenity': 'pharmacy', 'check_date': '2024-02-17', 'dispensing': 'yes', 'email': 'pharmalux@zwitserseapotheek.be', 'healthcare': 'pharmacy', 'name': 'Zwitserse Apotheek', 'opening_hours': 'Mo-Fr 09:00-12:30,14:00-18:30; Sa,Su,PH off', 'phone': '+32 3 236 28 71', 'website': 'http://www.zwitserseapotheek.be/'}",51.2072236,4.4296429,pharmacy,http://www.zwitserseapotheek.be/,+32 3 236 28 71,pharmalux@zwitserseapotheek.be,,
472272004,node,"{'addr:housenumber': '2', 'addr:street': 'Merksemheidelaan', 'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Apotheek De Ferm', 'opening_hours': 'Mo-Fr 09:00-12:30,14:00-18:30', 'phone': '+32 3 645 88 00', 'website': 'https://apotheekdeferm.apotheek.be/'}",51.2536198,4.4632788,pharmacy,https://apotheekdeferm.apotheek.be/,+32 3 645 88 00,,,
495189769,node,"{'amenity': 'pharmacy', 'check_date': '2024-08-24', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Apotheek Bek', 'website': 'https://apotheekbek.be'}",51.2073868,4.4199025,pharmacy,https://apotheekbek.be,,,,
495190058,node,"{'amenity': 'pharmacy', 'check_date': '2024-08-24', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Kruispunt Apotheek'}",51.2057336,4.4175826,pharmacy,,,,,
500350892,node,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'De Beul'}",51.2225909,4.4586056,pharmacy,,,,,
506116554,node,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Ter Rivieren'}",51.2132962,4.4574944,pharmacy,,,,,
717707853,node,"{'addr:city': 'Antwerpen', 'addr:country': 'BE', 'addr:housenumber': '42', 'addr:postcode': '2000', 'addr:province': 'Antwerpen', 'addr:street': 'Groenplaats', 'amenity': 'pharmacy', 'changing_table': 'no', 'changing_table:adult': 'no', 'entrance:step_count': '0', 'entrance:width': '1.44', 'fax': '+32 3 225 11 74', 'healthcare': 'pharmacy', 'name': 'Europa', 'opening_hours': 'Mo-Fr 09:00-18:30; Sa 10:00-17:00', 'operator': 'Mees', 'phone': '+32 3 233 26 27', 'website': 'https://www.apotheekmees.be/', 'wheelchair:turning_circle': 'no'}",51.218283,4.4020381,pharmacy,https://www.apotheekmees.be/,+32 3 233 26 27,,,
717707999,node,"{'amenity': 'pharmacy', 'entrance:kerb:height': '0.05', 'entrance:ramp': 'no', 'entrance:step_count': '1', 'entrance:width': '0.92', 'healthcare': 'pharmacy', 'name': 'Strobbe', 'toilets:wheelchair': 'no', 'wheelchair:turning_circle': 'yes'}",51.2193546,4.3977824,pharmacy,,,,,
977587712,node,"{'addr:housenumber': '91', 'addr:postcode': '2180', 'addr:street': 'Driehoekstraat', 'amenity': 'pharmacy', 'email': 'apotheekvanhulst@gmail.com', 'fax': '+32 3 541 01 58', 'name': 'Apotheek Van Hulst', 'old_name': 'Apotheek De Loecker', 'opening_hours': 'Mo-Fr 09:00-12:30,14:00-18:30; Sa,Su,PH off', 'phone': '+32 3 541 24 11', 'website': 'http://apotheekvanhulst.be/'}",51.2825437,4.4210454,pharmacy,http://apotheekvanhulst.be/,+32 3 541 24 11,apotheekvanhulst@gmail.com,,
998318015,node,"{'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'Tandant'}",51.2018338,4.4061131,dentist,,,,,
1010674266,node,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'De Lindeboom'}",51.2032007,4.4053681,pharmacy,,,,,
1010674275,node,"{'addr:housenumber': '81', 'addr:street': 'Justitiestraat', 'amenity': 'pharmacy', 'check_date': '2024-02-10', 'healthcare': 'pharmacy', 'name': 'Justitia'}",51.2080525,4.4036362,pharmacy,,,,,
1086875164,node,"{'addr:housenumber': '22A', 'addr:street': 'Klapdorp', 'amenity': 'doctors', 'changing_table': 'yes', 'changing_table:adult': 'yes', 'comment': 'toilet toegankelijk', 'entrance:kerb:height': '0.01', 'entrance:step_count': '1', 'entrance:width': '1.05', 'fee': 'no', 'healthcare': 'doctor', 'name': 'Antigoon Huisartsen', 'ramp:wheelchair': 'yes', 'shower:wheelchair': 'no', 'toilets:access': 'customers', 'toilets:wheelchair': 'yes', 'toilets:wheelchair:accessible_via': 'ground_floor', 'toilets:wheelchair:door_width': '0.89', 'toilets:wheelchair:grab_rails': 'yes', 'toilets:wheelchair:space_front': '1.4', 'toilets:wheelchair:space_side': '0.8', 'website': 'https://antigoonartsen.be/', 'wheelchair:turning_circle': 'no'}",51.2242743,4.4043481,doctors,https://antigoonartsen.be/,,,,
1130807884,node,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Apotheek Six'}",51.2266106,4.4117912,pharmacy,,,,,
