"id","type","metadata","lat","lon","amenity","website","phone","email","is_address_null","address"
"248701820","node","{'amenity': 'pharmacy', 'entrance:kerb:height': '0.05', 'entrance:ramp': 'no', 'entrance:step_count': '1', 'entrance:width': '1.04', 'healthcare': 'pharmacy', 'name': 'Apotheek Roosevelt', 'opening_hours': 'Mo-Fr 09:00-18:30; Sa 10:30-17:30; Su off', 'toilets:wheelchair': 'no', 'wheelchair': 'no', 'wheelchair:turning_circle': 'no', 'address': 'Apotheek Roosevelt, 98-104, Sint-Jacobsmarkt, Universiteitsbuurt, Antwerpen-Noord, Antwerpen, 2000, België / Belgique / Belgien'}","51.2196979","4.41493","pharmacy","","","","",""
"248701898","node","{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Apotheek Krols', 'website': 'https://apotheek-krols.business.site', 'wheelchair': 'yes', 'address': 'Apotheek Krols, 38, Paardenmarkt, Universiteitsbuurt, Antwerpen-Noord, Antwerpen, 2000, België / Belgique / Belgien'}","51.2249239","4.4097546","pharmacy","https://apotheek-krols.business.site","","","",""
"248702004","node","{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Shipping Dispensary', 'operator': 'AFS', 'address': 'Shipping Dispensary, Italiëlei, Amandus, Amandus-Atheneum, Antwerpen-Noord, Antwerpen, 2000, België / Belgique / Belgien'}","51.2267041","4.414979","pharmacy","","","","",""
"297296979","node","{'addr:housenumber': '291', 'amenity': 'veterinary', 'name': 'Eddy Janssens', 'address': 'Eddy Janssens, 291, Diksmuidelaan, Groenenhoek, Berchem, Antwerpen, Vlaanderen, 2600, België / Belgique / Belgien'}","51.1930795","4.4461398","veterinary","","","","",""
"305753470","node","{'amenity': 'pharmacy', 'created_by': 'Merkaartor 0.11', 'address': '18-32,18A, Graspolderlaan, Polderstad, Hoboken-West, Hoboken, Antwerpen, 2660, België / Belgique / Belgien'}","51.1855731","4.3424064","pharmacy","","","","",""
"306484558","node","{'amenity': 'pharmacy', 'dispensing': 'yes', 'email': 'apotheek.wilrijk-bauwenslaan@benu.be', 'healthcare': 'pharmacy', 'name': 'BENU', 'old_name': 'LloydsPharma', 'opening_hours': 'Mo-Fr 09:00-12:30,13:30-18:30', 'phone': '+32 3 827 81 97', 'website': 'https://storelocator.benu.be/nl/apotheek-benu-wilrijk-bauwenslaan', 'address': 'BENU, 59-61, Pastoor Bauwenslaan, Valaar-De Brem, Wilrijk-Centrum, Wilrijk, Antwerpen, 2610, België / Belgique / Belgien'}","51.1787307","4.3782537","pharmacy","https://storelocator.benu.be/nl/apotheek-benu-wilrijk-bauwenslaan","+32 3 827 81 97","apotheek.wilrijk-bauwenslaan@benu.be","",""
"441170477","node","{'addr:housenumber': '25', 'addr:postcode': '2018', 'addr:street': 'Dageraadplaats', 'amenity': 'pharmacy', 'check_date': '2024-02-17', 'dispensing': 'yes', 'email': 'pharmalux@zwitserseapotheek.be', 'healthcare': 'pharmacy', 'name': 'Zwitserse Apotheek', 'opening_hours': 'Mo-Fr 09:00-12:30,14:00-18:30; Sa,Su,PH off', 'phone': '+32 3 236 28 71', 'website': 'http://www.zwitserseapotheek.be/', 'address': 'Zwitserse Apotheek, 25, Dageraadplaats, Zurenborg, Antwerpen, 2018, België / Belgique / Belgien'}","51.2072236","4.4296429","pharmacy","http://www.zwitserseapotheek.be/","+32 3 236 28 71","pharmalux@zwitserseapotheek.be","",""
"472272004","node","{'addr:housenumber': '2', 'addr:street': 'Merksemheidelaan', 'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Apotheek De Ferm', 'opening_hours': 'Mo-Fr 09:00-12:30,14:00-18:30', 'phone': '+32 3 645 88 00', 'website': 'https://apotheekdeferm.apotheek.be/', 'address': 'Apotheek De Ferm, 2, Merksemheidelaan, Wildert, Merksemheide, Merksem, Antwerpen, 2170, België / Belgique / Belgien'}","51.2536198","4.4632788","pharmacy","https://apotheekdeferm.apotheek.be/","+32 3 645 88 00","","",""
"495189769","node","{'amenity': 'pharmacy', 'check_date': '2024-08-24', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Apotheek Bek', 'website': 'https://apotheekbek.be', 'address': 'Apotheek Bek, 66, Belgiëlei, Klein-Antwerpen, Linkeroever, Antwerpen, Vlaanderen, 2018, België / Belgique / Belgien'}","51.2073868","4.4199025","pharmacy","https://apotheekbek.be","","","",""
"495190058","node","{'amenity': 'pharmacy', 'check_date': '2024-08-24', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Kruispunt Apotheek', 'address': 'Kruispunt Apotheek, 108-110, Belgiëlei, Klein-Antwerpen, Linkeroever, Antwerpen, 2018, België / Belgique / Belgien'}","51.2057336","4.4175826","pharmacy","","","","",""
